"","ref","tooth","tribe","species"
"78","DSCN4827","LM3","Alcelaphini","Alcelaphus buselaphus"
"79","DSCN4831","LM3","Alcelaphini","Alcelaphus buselaphus"
"80","DSCN4835","LM3","Alcelaphini","Alcelaphus buselaphus"
"81","DSCN4840","LM3","Alcelaphini","Alcelaphus buselaphus"
"82","DSCN4844","LM3","Alcelaphini","Alcelaphus buselaphus"
"83","DSCN4849","LM3","Alcelaphini","Alcelaphus buselaphus"
"84","DSCN2812","UM1","Alcelaphini","Alcelaphus buselaphus"
"85","DSCN2816","UM1","Alcelaphini","Alcelaphus buselaphus"
"86","DSCN2820","UM1","Alcelaphini","Alcelaphus buselaphus"
"87","DSCN2824","UM1","Alcelaphini","Alcelaphus buselaphus"
"88","DSCN2828","UM1","Alcelaphini","Alcelaphus buselaphus"
"89","DSCN2832","UM1","Alcelaphini","Alcelaphus buselaphus"
"90","DSCN2836","UM1","Alcelaphini","Alcelaphus buselaphus"
"91","DSCN2840","UM1","Alcelaphini","Alcelaphus buselaphus"
"92","DSCN2844","UM1","Alcelaphini","Alcelaphus buselaphus"
"93","DSCN2848","UM1","Alcelaphini","Alcelaphus buselaphus"
"94","DSCN2852","UM1","Alcelaphini","Alcelaphus buselaphus"
"95","DSCN2860","UM1","Alcelaphini","Alcelaphus buselaphus"
"96","DSCN2864","UM1","Alcelaphini","Alcelaphus buselaphus"
"97","DSCN2868","UM1","Alcelaphini","Alcelaphus buselaphus"
"98","DSCN2935","UM1","Alcelaphini","Alcelaphus buselaphus"
"99","DSCN4136","UM1","Alcelaphini","Alcelaphus buselaphus"
"100","DSCN4140","UM1","Alcelaphini","Alcelaphus buselaphus"
"101","DSCN4144","UM1","Alcelaphini","Alcelaphus buselaphus"
"102","DSCN4743","UM1","Alcelaphini","Alcelaphus buselaphus"
"103","DSCN4747","UM1","Alcelaphini","Alcelaphus buselaphus"
"104","DSCN4752","UM1","Alcelaphini","Alcelaphus buselaphus"
"105","DSCN4755","UM1","Alcelaphini","Alcelaphus buselaphus"
"106","DSCN4759","UM1","Alcelaphini","Alcelaphus buselaphus"
"107","DSCN4763","UM1","Alcelaphini","Alcelaphus buselaphus"
"108","DSCN4767","UM1","Alcelaphini","Alcelaphus buselaphus"
"109","DSCN4771","UM1","Alcelaphini","Alcelaphus buselaphus"
"110","DSCN4776","UM1","Alcelaphini","Alcelaphus buselaphus"
"111","DSCN4780","UM1","Alcelaphini","Alcelaphus buselaphus"
"112","DSCN4784","UM1","Alcelaphini","Alcelaphus buselaphus"
"113","DSCN4788","UM1","Alcelaphini","Alcelaphus buselaphus"
"114","DSCN4792","UM1","Alcelaphini","Alcelaphus buselaphus"
"115","DSCN2811","UM2","Alcelaphini","Alcelaphus buselaphus"
"116","DSCN2815","UM2","Alcelaphini","Alcelaphus buselaphus"
"117","DSCN2819","UM2","Alcelaphini","Alcelaphus buselaphus"
"118","DSCN2823","UM2","Alcelaphini","Alcelaphus buselaphus"
"119","DSCN2827","UM2","Alcelaphini","Alcelaphus buselaphus"
"120","DSCN2831","UM2","Alcelaphini","Alcelaphus buselaphus"
"121","DSCN2835","UM2","Alcelaphini","Alcelaphus buselaphus"
"122","DSCN2839","UM2","Alcelaphini","Alcelaphus buselaphus"
"123","DSCN2843","UM2","Alcelaphini","Alcelaphus buselaphus"
"124","DSCN2847","UM2","Alcelaphini","Alcelaphus buselaphus"
"125","DSCN2851","UM2","Alcelaphini","Alcelaphus buselaphus"
"126","DSCN2855","UM2","Alcelaphini","Alcelaphus buselaphus"
"127","DSCN2859","UM2","Alcelaphini","Alcelaphus buselaphus"
"128","DSCN2863","UM2","Alcelaphini","Alcelaphus buselaphus"
"129","DSCN2867","UM2","Alcelaphini","Alcelaphus buselaphus"
"130","DSCN2934","UM2","Alcelaphini","Alcelaphus buselaphus"
"131","DSCN4135","UM2","Alcelaphini","Alcelaphus buselaphus"
"132","DSCN4139","UM2","Alcelaphini","Alcelaphus buselaphus"
"133","DSCN4143","UM2","Alcelaphini","Alcelaphus buselaphus"
"134","DSCN4742","UM2","Alcelaphini","Alcelaphus buselaphus"
"135","DSCN4746","UM2","Alcelaphini","Alcelaphus buselaphus"
"136","DSCN4750","UM2","Alcelaphini","Alcelaphus buselaphus"
"137","DSCN4754","UM2","Alcelaphini","Alcelaphus buselaphus"
"138","DSCN4758","UM2","Alcelaphini","Alcelaphus buselaphus"
"139","DSCN4762","UM2","Alcelaphini","Alcelaphus buselaphus"
"140","DSCN4766","UM2","Alcelaphini","Alcelaphus buselaphus"
"141","DSCN4770","UM2","Alcelaphini","Alcelaphus buselaphus"
"142","DSCN4775","UM2","Alcelaphini","Alcelaphus buselaphus"
"143","DSCN4779","UM2","Alcelaphini","Alcelaphus buselaphus"
"144","DSCN4783","UM2","Alcelaphini","Alcelaphus buselaphus"
"145","DSCN2933","UM3","Alcelaphini","Alcelaphus buselaphus"
"146","DSCN4134","UM3","Alcelaphini","Alcelaphus buselaphus"
"147","DSCN4138","UM3","Alcelaphini","Alcelaphus buselaphus"
"148","DSCN4142","UM3","Alcelaphini","Alcelaphus buselaphus"
"149","DSCN4741","UM3","Alcelaphini","Alcelaphus buselaphus"
"150","DSCN4745","UM3","Alcelaphini","Alcelaphus buselaphus"
"151","DSCN4749","UM3","Alcelaphini","Alcelaphus buselaphus"
"152","DSCN4753","UM3","Alcelaphini","Alcelaphus buselaphus"
"153","DSCN4757","UM3","Alcelaphini","Alcelaphus buselaphus"
"154","DSCN4761","UM3","Alcelaphini","Alcelaphus buselaphus"
"155","DSCN4765","UM3","Alcelaphini","Alcelaphus buselaphus"
"156","DSCN4769","UM3","Alcelaphini","Alcelaphus buselaphus"
"157","DSCN4774","UM3","Alcelaphini","Alcelaphus buselaphus"
"158","DSCN4778","UM3","Alcelaphini","Alcelaphus buselaphus"
"159","DSCN4782","UM3","Alcelaphini","Alcelaphus buselaphus"
"160","DSCN2612","LM1","Alcelaphini","Connochaetes gnou"
"161","DSCN2616","LM1","Alcelaphini","Connochaetes gnou"
"162","DSCN2620","LM1","Alcelaphini","Connochaetes gnou"
"163","DSCN2624","LM1","Alcelaphini","Connochaetes gnou"
"164","DSCN2628","LM1","Alcelaphini","Connochaetes gnou"
"165","DSCN2632","LM1","Alcelaphini","Connochaetes gnou"
"166","DSCN2636","LM1","Alcelaphini","Connochaetes gnou"
"167","DSCN2640","LM1","Alcelaphini","Connochaetes gnou"
"168","DSCN2644","LM1","Alcelaphini","Connochaetes gnou"
"169","DSCN2648","LM1","Alcelaphini","Connochaetes gnou"
"170","DSCN2651","LM1","Alcelaphini","Connochaetes gnou"
"171","DSCN2654","LM1","Alcelaphini","Connochaetes gnou"
"172","DSCN2658","LM1","Alcelaphini","Connochaetes gnou"
"173","DSCN2662","LM1","Alcelaphini","Connochaetes gnou"
"174","DSCN2666","LM1","Alcelaphini","Connochaetes gnou"
"175","DSCN2670","LM1","Alcelaphini","Connochaetes gnou"
"176","DSCN2673","LM1","Alcelaphini","Connochaetes gnou"
"177","DSCN2676","LM1","Alcelaphini","Connochaetes gnou"
"178","DSCN2679","LM1","Alcelaphini","Connochaetes gnou"
"179","DSCN2682","LM1","Alcelaphini","Connochaetes gnou"
"180","DSCN2686","LM1","Alcelaphini","Connochaetes gnou"
"181","DSCN2690","LM1","Alcelaphini","Connochaetes gnou"
"182","DSCN2694","LM1","Alcelaphini","Connochaetes gnou"
"183","DSCN2698","LM1","Alcelaphini","Connochaetes gnou"
"184","DSCN2745","LM1","Alcelaphini","Connochaetes gnou"
"185","DSCN3128","LM1","Alcelaphini","Connochaetes gnou"
"186","DSCN4163","LM1","Alcelaphini","Connochaetes gnou"
"187","DSCN4167","LM1","Alcelaphini","Connochaetes gnou"
"188","DSCN4172","LM1","Alcelaphini","Connochaetes gnou"
"189","DSCN4177","LM1","Alcelaphini","Connochaetes gnou"
"190","DSCN2611","LM2","Alcelaphini","Connochaetes gnou"
"191","DSCN2615","LM2","Alcelaphini","Connochaetes gnou"
"192","DSCN2619","LM2","Alcelaphini","Connochaetes gnou"
"193","DSCN2623","LM2","Alcelaphini","Connochaetes gnou"
"194","DSCN2627","LM2","Alcelaphini","Connochaetes gnou"
"195","DSCN2631","LM2","Alcelaphini","Connochaetes gnou"
"196","DSCN2635","LM2","Alcelaphini","Connochaetes gnou"
"197","DSCN2639","LM2","Alcelaphini","Connochaetes gnou"
"198","DSCN2643","LM2","Alcelaphini","Connochaetes gnou"
"199","DSCN2647","LM2","Alcelaphini","Connochaetes gnou"
"200","DSCN2650","LM2","Alcelaphini","Connochaetes gnou"
"201","DSCN2653","LM2","Alcelaphini","Connochaetes gnou"
"202","DSCN2657","LM2","Alcelaphini","Connochaetes gnou"
"203","DSCN2661","LM2","Alcelaphini","Connochaetes gnou"
"204","DSCN2665","LM2","Alcelaphini","Connochaetes gnou"
"205","DSCN2669","LM2","Alcelaphini","Connochaetes gnou"
"206","DSCN2672","LM2","Alcelaphini","Connochaetes gnou"
"207","DSCN2675","LM2","Alcelaphini","Connochaetes gnou"
"208","DSCN2678","LM2","Alcelaphini","Connochaetes gnou"
"209","DSCN2681","LM2","Alcelaphini","Connochaetes gnou"
"210","DSCN2685","LM2","Alcelaphini","Connochaetes gnou"
"211","DSCN2689","LM2","Alcelaphini","Connochaetes gnou"
"212","DSCN2693","LM2","Alcelaphini","Connochaetes gnou"
"213","DSCN2697","LM2","Alcelaphini","Connochaetes gnou"
"214","DSCN2744","LM2","Alcelaphini","Connochaetes gnou"
"215","DSCN3127","LM2","Alcelaphini","Connochaetes gnou"
"216","DSCN4162","LM2","Alcelaphini","Connochaetes gnou"
"217","DSCN4166","LM2","Alcelaphini","Connochaetes gnou"
"218","DSCN4170","LM2","Alcelaphini","Connochaetes gnou"
"219","DSCN4176","LM2","Alcelaphini","Connochaetes gnou"
"220","DSCN2610","LM3","Alcelaphini","Connochaetes gnou"
"221","DSCN2614","LM3","Alcelaphini","Connochaetes gnou"
"222","DSCN2618","LM3","Alcelaphini","Connochaetes gnou"
"223","DSCN2622","LM3","Alcelaphini","Connochaetes gnou"
"224","DSCN2626","LM3","Alcelaphini","Connochaetes gnou"
"225","DSCN2630","LM3","Alcelaphini","Connochaetes gnou"
"226","DSCN2634","LM3","Alcelaphini","Connochaetes gnou"
"227","DSCN2638","LM3","Alcelaphini","Connochaetes gnou"
"228","DSCN2642","LM3","Alcelaphini","Connochaetes gnou"
"229","DSCN2646","LM3","Alcelaphini","Connochaetes gnou"
"230","DSCN2649","LM3","Alcelaphini","Connochaetes gnou"
"231","DSCN2652","LM3","Alcelaphini","Connochaetes gnou"
"232","DSCN2656","LM3","Alcelaphini","Connochaetes gnou"
"233","DSCN2660","LM3","Alcelaphini","Connochaetes gnou"
"234","DSCN2664","LM3","Alcelaphini","Connochaetes gnou"
"235","DSCN2668","LM3","Alcelaphini","Connochaetes gnou"
"236","DSCN2671","LM3","Alcelaphini","Connochaetes gnou"
"237","DSCN2674","LM3","Alcelaphini","Connochaetes gnou"
"238","DSCN2677","LM3","Alcelaphini","Connochaetes gnou"
"239","DSCN2680","LM3","Alcelaphini","Connochaetes gnou"
"240","DSCN2684","LM3","Alcelaphini","Connochaetes gnou"
"241","DSCN2688","LM3","Alcelaphini","Connochaetes gnou"
"242","DSCN2692","LM3","Alcelaphini","Connochaetes gnou"
"243","DSCN2696","LM3","Alcelaphini","Connochaetes gnou"
"244","DSCN2743","LM3","Alcelaphini","Connochaetes gnou"
"245","DSCN3126","LM3","Alcelaphini","Connochaetes gnou"
"246","DSCN4161","LM3","Alcelaphini","Connochaetes gnou"
"247","DSCN4165","LM3","Alcelaphini","Connochaetes gnou"
"248","DSCN4175","LM3","Alcelaphini","Connochaetes gnou"
"249","DSCN4179","LM3","Alcelaphini","Connochaetes gnou"
"250","DSCN2520","UM1","Alcelaphini","Connochaetes gnou"
"251","DSCN2529","UM1","Alcelaphini","Connochaetes gnou"
"252","DSCN2538","UM1","Alcelaphini","Connochaetes gnou"
"253","DSCN2542","UM1","Alcelaphini","Connochaetes gnou"
"254","DSCN2549","UM1","Alcelaphini","Connochaetes gnou"
"255","DSCN2553","UM1","Alcelaphini","Connochaetes gnou"
"256","DSCN2561","UM1","Alcelaphini","Connochaetes gnou"
"257","DSCN2564","UM1","Alcelaphini","Connochaetes gnou"
"258","DSCN2569","UM1","Alcelaphini","Connochaetes gnou"
"259","DSCN2574","UM1","Alcelaphini","Connochaetes gnou"
"260","DSCN2578","UM1","Alcelaphini","Connochaetes gnou"
"261","DSCN2583","UM1","Alcelaphini","Connochaetes gnou"
"262","DSCN2587","UM1","Alcelaphini","Connochaetes gnou"
"263","DSCN2592","UM1","Alcelaphini","Connochaetes gnou"
"264","DSCN2599","UM1","Alcelaphini","Connochaetes gnou"
"265","DSCN2603","UM1","Alcelaphini","Connochaetes gnou"
"266","DSCN2608","UM1","Alcelaphini","Connochaetes gnou"
"267","DSCN2702","UM1","Alcelaphini","Connochaetes gnou"
"268","DSCN2741","UM1","Alcelaphini","Connochaetes gnou"
"269","DSCN3116","UM1","Alcelaphini","Connochaetes gnou"
"270","DSCN3123","UM1","Alcelaphini","Connochaetes gnou"
"271","DSCN4159","UM1","Alcelaphini","Connochaetes gnou"
"272","DSCN4694","UM1","Alcelaphini","Connochaetes gnou"
"273","DSCN4698","UM1","Alcelaphini","Connochaetes gnou"
"274","DSCN4702","UM1","Alcelaphini","Connochaetes gnou"
"275","DSCN4706","UM1","Alcelaphini","Connochaetes gnou"
"276","DSCN4710","UM1","Alcelaphini","Connochaetes gnou"
"277","DSCN4714","UM1","Alcelaphini","Connochaetes gnou"
"278","DSCN2519","UM2","Alcelaphini","Connochaetes gnou"
"279","DSCN2528","UM2","Alcelaphini","Connochaetes gnou"
"280","DSCN2534","UM2","Alcelaphini","Connochaetes gnou"
"281","DSCN2541","UM2","Alcelaphini","Connochaetes gnou"
"282","DSCN2548","UM2","Alcelaphini","Connochaetes gnou"
"283","DSCN2552","UM2","Alcelaphini","Connochaetes gnou"
"284","DSCN2560","UM2","Alcelaphini","Connochaetes gnou"
"285","DSCN2563","UM2","Alcelaphini","Connochaetes gnou"
"286","DSCN2568","UM2","Alcelaphini","Connochaetes gnou"
"287","DSCN2573","UM2","Alcelaphini","Connochaetes gnou"
"288","DSCN2577","UM2","Alcelaphini","Connochaetes gnou"
"289","DSCN2582","UM2","Alcelaphini","Connochaetes gnou"
"290","DSCN2586","UM2","Alcelaphini","Connochaetes gnou"
"291","DSCN2591","UM2","Alcelaphini","Connochaetes gnou"
"292","DSCN2598","UM2","Alcelaphini","Connochaetes gnou"
"293","DSCN2602","UM2","Alcelaphini","Connochaetes gnou"
"294","DSCN2607","UM2","Alcelaphini","Connochaetes gnou"
"295","DSCN2701","UM2","Alcelaphini","Connochaetes gnou"
"296","DSCN2740","UM2","Alcelaphini","Connochaetes gnou"
"297","DSCN3118","UM2","Alcelaphini","Connochaetes gnou"
"298","DSCN3122","UM2","Alcelaphini","Connochaetes gnou"
"299","DSCN4158","UM2","Alcelaphini","Connochaetes gnou"
"300","DSCN4692","UM2","Alcelaphini","Connochaetes gnou"
"301","DSCN4697","UM2","Alcelaphini","Connochaetes gnou"
"302","DSCN4701","UM2","Alcelaphini","Connochaetes gnou"
"303","DSCN4705","UM2","Alcelaphini","Connochaetes gnou"
"304","DSCN4709","UM2","Alcelaphini","Connochaetes gnou"
"305","DSCN4713","UM2","Alcelaphini","Connochaetes gnou"
"306","DSCN2601","UM3","Alcelaphini","Connochaetes gnou"
"307","DSCN2606","UM3","Alcelaphini","Connochaetes gnou"
"308","DSCN2700","UM3","Alcelaphini","Connochaetes gnou"
"309","DSCN2739","UM3","Alcelaphini","Connochaetes gnou"
"310","DSCN3114","UM3","Alcelaphini","Connochaetes gnou"
"311","DSCN3117","UM3","Alcelaphini","Connochaetes gnou"
"312","DSCN3120","UM3","Alcelaphini","Connochaetes gnou"
"313","DSCN3124","UM3","Alcelaphini","Connochaetes gnou"
"314","DSCN4157","UM3","Alcelaphini","Connochaetes gnou"
"315","DSCN4691","UM3","Alcelaphini","Connochaetes gnou"
"316","DSCN4696","UM3","Alcelaphini","Connochaetes gnou"
"317","DSCN4700","UM3","Alcelaphini","Connochaetes gnou"
"318","DSCN4704","UM3","Alcelaphini","Connochaetes gnou"
"319","DSCN4708","UM3","Alcelaphini","Connochaetes gnou"
"320","DSCN4712","UM3","Alcelaphini","Connochaetes gnou"
"321","DSCN2764","LM1","Alcelaphini","Connochaetes taurinus"
"322","DSCN2768","LM1","Alcelaphini","Connochaetes taurinus"
"323","DSCN2772","LM1","Alcelaphini","Connochaetes taurinus"
"324","DSCN2776","LM1","Alcelaphini","Connochaetes taurinus"
"325","DSCN2781","LM1","Alcelaphini","Connochaetes taurinus"
"326","DSCN2785","LM1","Alcelaphini","Connochaetes taurinus"
"327","DSCN2789","LM1","Alcelaphini","Connochaetes taurinus"
"328","DSCN2793","LM1","Alcelaphini","Connochaetes taurinus"
"329","DSCN2797","LM1","Alcelaphini","Connochaetes taurinus"
"330","DSCN2805","LM1","Alcelaphini","Connochaetes taurinus"
"331","DSCN2809","LM1","Alcelaphini","Connochaetes taurinus"
"332","DSCN4628","LM1","Alcelaphini","Connochaetes taurinus"
"333","DSCN4632","LM1","Alcelaphini","Connochaetes taurinus"
"334","DSCN4635","LM1","Alcelaphini","Connochaetes taurinus"
"335","DSCN4639","LM1","Alcelaphini","Connochaetes taurinus"
"336","DSCN4646","LM1","Alcelaphini","Connochaetes taurinus"
"337","DSCN4651","LM1","Alcelaphini","Connochaetes taurinus"
"338","DSCN4655","LM1","Alcelaphini","Connochaetes taurinus"
"339","DSCN4659","LM1","Alcelaphini","Connochaetes taurinus"
"340","DSCN4668","LM1","Alcelaphini","Connochaetes taurinus"
"341","DSCN4672","LM1","Alcelaphini","Connochaetes taurinus"
"342","DSCN4678","LM1","Alcelaphini","Connochaetes taurinus"
"343","DSCN4681","LM1","Alcelaphini","Connochaetes taurinus"
"344","DSCN4689","LM1","Alcelaphini","Connochaetes taurinus"
"345","DSCN2763","LM2","Alcelaphini","Connochaetes taurinus"
"346","DSCN2767","LM2","Alcelaphini","Connochaetes taurinus"
"347","DSCN2771","LM2","Alcelaphini","Connochaetes taurinus"
"348","DSCN2775","LM2","Alcelaphini","Connochaetes taurinus"
"349","DSCN2780","LM2","Alcelaphini","Connochaetes taurinus"
"350","DSCN2784","LM2","Alcelaphini","Connochaetes taurinus"
"351","DSCN2788","LM2","Alcelaphini","Connochaetes taurinus"
"352","DSCN2792","LM2","Alcelaphini","Connochaetes taurinus"
"353","DSCN2796","LM2","Alcelaphini","Connochaetes taurinus"
"354","DSCN2800","LM2","Alcelaphini","Connochaetes taurinus"
"355","DSCN2804","LM2","Alcelaphini","Connochaetes taurinus"
"356","DSCN2808","LM2","Alcelaphini","Connochaetes taurinus"
"357","DSCN4627","LM2","Alcelaphini","Connochaetes taurinus"
"358","DSCN4631","LM2","Alcelaphini","Connochaetes taurinus"
"359","DSCN4634","LM2","Alcelaphini","Connochaetes taurinus"
"360","DSCN4638","LM2","Alcelaphini","Connochaetes taurinus"
"361","DSCN4642","LM2","Alcelaphini","Connochaetes taurinus"
"362","DSCN4645","LM2","Alcelaphini","Connochaetes taurinus"
"363","DSCN4650","LM2","Alcelaphini","Connochaetes taurinus"
"364","DSCN4654","LM2","Alcelaphini","Connochaetes taurinus"
"365","DSCN4658","LM2","Alcelaphini","Connochaetes taurinus"
"366","DSCN4667","LM2","Alcelaphini","Connochaetes taurinus"
"367","DSCN4671","LM2","Alcelaphini","Connochaetes taurinus"
"368","DSCN4674","LM2","Alcelaphini","Connochaetes taurinus"
"369","DSCN4677","LM2","Alcelaphini","Connochaetes taurinus"
"370","DSCN4680","LM2","Alcelaphini","Connochaetes taurinus"
"371","DSCN4688","LM2","Alcelaphini","Connochaetes taurinus"
"372","DSCN2762","LM3","Alcelaphini","Connochaetes taurinus"
"373","DSCN2766","LM3","Alcelaphini","Connochaetes taurinus"
"374","DSCN2770","LM3","Alcelaphini","Connochaetes taurinus"
"375","DSCN2774","LM3","Alcelaphini","Connochaetes taurinus"
"376","DSCN2778","LM3","Alcelaphini","Connochaetes taurinus"
"377","DSCN2783","LM3","Alcelaphini","Connochaetes taurinus"
"378","DSCN2787","LM3","Alcelaphini","Connochaetes taurinus"
"379","DSCN2791","LM3","Alcelaphini","Connochaetes taurinus"
"380","DSCN2795","LM3","Alcelaphini","Connochaetes taurinus"
"381","DSCN2799","LM3","Alcelaphini","Connochaetes taurinus"
"382","DSCN2803","LM3","Alcelaphini","Connochaetes taurinus"
"383","DSCN2807","LM3","Alcelaphini","Connochaetes taurinus"
"384","DSCN4626","LM3","Alcelaphini","Connochaetes taurinus"
"385","DSCN4630","LM3","Alcelaphini","Connochaetes taurinus"
"386","DSCN4633","LM3","Alcelaphini","Connochaetes taurinus"
"387","DSCN4637","LM3","Alcelaphini","Connochaetes taurinus"
"388","DSCN4641","LM3","Alcelaphini","Connochaetes taurinus"
"389","DSCN4644","LM3","Alcelaphini","Connochaetes taurinus"
"390","DSCN4648","LM3","Alcelaphini","Connochaetes taurinus"
"391","DSCN4653","LM3","Alcelaphini","Connochaetes taurinus"
"392","DSCN4657","LM3","Alcelaphini","Connochaetes taurinus"
"393","DSCN4670","LM3","Alcelaphini","Connochaetes taurinus"
"394","DSCN4676","LM3","Alcelaphini","Connochaetes taurinus"
"395","DSCN4679","LM3","Alcelaphini","Connochaetes taurinus"
"396","DSCN4687","LM3","Alcelaphini","Connochaetes taurinus"
"397","DSCN2706","UM1","Alcelaphini","Connochaetes taurinus"
"398","DSCN2710","UM1","Alcelaphini","Connochaetes taurinus"
"399","DSCN2714","UM1","Alcelaphini","Connochaetes taurinus"
"400","DSCN2719","UM1","Alcelaphini","Connochaetes taurinus"
"401","DSCN2723","UM1","Alcelaphini","Connochaetes taurinus"
"402","DSCN2727","UM1","Alcelaphini","Connochaetes taurinus"
"403","DSCN2731","UM1","Alcelaphini","Connochaetes taurinus"
"404","DSCN2734","UM1","Alcelaphini","Connochaetes taurinus"
"405","DSCN2738","UM1","Alcelaphini","Connochaetes taurinus"
"406","DSCN2749","UM1","Alcelaphini","Connochaetes taurinus"
